,Band gap (eV),Structure,A-site,B-site,B'-site,X-site,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR)
CsBaBr3,5.14,ABX3,Cs,Ba,,Br,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,79.90,947.30,0.80,0.69
CsBaCl3,6.00,ABX3,Cs,Ba,,Cl,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,35.45,478.20,0.80,0.75
CsBaI3,4.31,ABX3,Cs,Ba,,I,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,126.90,429.00,0.79,0.61
CsBeBr3,2.01,ABX3,Cs,Be,,Br,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,79.90,947.30,1.35,0.23
CsBeCl3,3.68,ABX3,Cs,Be,,Cl,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,35.45,478.20,1.40,0.25
CsBeI3,0.09,ABX3,Cs,Be,,I,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,126.90,429.00,1.29,0.20
CsCaBr3,5.62,ABX3,Cs,Ca,,Br,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,79.90,947.30,0.96,0.51
CsCaCl3,6.81,ABX3,Cs,Ca,,Cl,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,35.45,478.20,0.98,0.55
CsCaI3,4.62,ABX3,Cs,Ca,,I,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,126.90,429.00,0.95,0.45
CsCdBr3,1.83,ABX3,Cs,Cd,,Br,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,79.90,947.30,1.09,0.48
CsCdCl3,3.14,ABX3,Cs,Cd,,Cl,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,35.45,478.20,1.11,0.52
CsCdI3,0.28,ABX3,Cs,Cd,,I,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,126.90,429.00,1.06,0.43
CsGeBr3,1.01,ABX3,Cs,Ge,,Br,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,79.90,947.30,1.27,0.37
CsGeCl3,1.42,ABX3,Cs,Ge,,Cl,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,35.45,478.20,1.31,0.40
CsMgBr3,3.78,ABX3,Cs,Mg,,Br,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,79.90,947.30,1.16,0.37
CsMgCl3,5.55,ABX3,Cs,Mg,,Cl,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,35.45,478.20,1.19,0.40
CsMgI3,1.97,ABX3,Cs,Mg,,I,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,126.90,429.00,1.12,0.33
CsMnBr3,2.46,ABX3,Cs,Mn,,Br,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,79.90,947.30,1.09,0.42
CsMnCl3,3.17,ABX3,Cs,Mn,,Cl,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,35.45,478.20,1.11,0.46
CsMnI3,1.09,ABX3,Cs,Mn,,I,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,126.90,429.00,1.06,0.38
CsNiCl3,2.54,ABX3,Cs,Ni,,Cl,58.69,1.91,112.00,737.10,1753.00,3395.00,8908.00,445.00,378.00,35.45,478.20,1.17,0.38
CsPbBr3,1.26,ABX3,Cs,Pb,,Br,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,79.90,947.30,1.12,0.61
CsPbCl3,1.78,ABX3,Cs,Pb,,Cl,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,35.45,478.20,1.14,0.66
CsPbI3,0.78,ABX3,Cs,Pb,,I,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,126.90,429.00,1.09,0.54
CsSiBr3,0.08,ABX3,Cs,Si,,Br,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,79.90,947.30,1.35,0.20
CsSiCl3,0.30,ABX3,Cs,Si,,Cl,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,35.45,478.20,1.40,0.22
CsSnBr3,0.62,ABX3,Cs,Sn,,Br,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,79.90,947.30,1.16,0.35
CsSnCl3,1.08,ABX3,Cs,Sn,,Cl,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,35.45,478.20,1.19,0.38
CsSrBr3,5.35,ABX3,Cs,Sr,,Br,87.62,0.95,5.03,549.50,1064.20,4138.00,2630.00,300.00,137.00,79.90,947.30,0.89,0.60
CsSrCl3,6.39,ABX3,Cs,Sr,,Cl,87.62,0.95,5.03,549.50,1064.20,4138.00,2630.00,300.00,137.00,35.45,478.20,0.89,0.65
CsSrI3,4.45,ABX3,Cs,Sr,,I,87.62,0.95,5.03,549.50,1064.20,4138.00,2630.00,300.00,137.00,126.90,429.00,0.87,0.54
CsVBr3,2.79,ABX3,Cs,V,,Br,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,79.90,947.30,1.05,0.28
CsVCl3,2.87,ABX3,Cs,V,,Cl,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,35.45,478.20,1.07,0.30
CsVI3,2.66,ABX3,Cs,V,,I,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,126.90,429.00,1.02,0.25
