,# of A,# of B,# of X,W_A,EN_A,EA_A,1st IE_A,2nd IE_A,3rd IE_A,AR_A,CR_A,IR_A,D_A,S_A,HV_A,W_B,EN_B,EA_B,1st IE_B,2nd IE_B,3rd IE_B,AR_B,CR_B,IR_B,D_B,S_B,HV_B,OS_B,W_X,EN_X,EA_X,1st IE_X,2nd IE_X,3rd IE_X,AR_X,CR_X,IR_X,D_X,S_X,HV_X,t(AR),t(IR),u(AR),u(IR),Eg_ref,Eg_cal_cubic,Eg_cal_rhom
CsBaBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,137.33,0.89,13.95,502.90,965.20,3600.00,253.00,198.00,1.35,3510.00,205.00,140.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.80,0.82,2.69,0.69,5.14,5.14,5.14
CsBaCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,137.33,0.89,13.95,502.90,965.20,3600.00,253.00,198.00,1.35,3510.00,205.00,140.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.80,0.83,3.20,0.75,6.00,6.00,6.00
CsBaI3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,137.33,0.89,13.95,502.90,965.20,3600.00,253.00,198.00,1.35,3510.00,205.00,140.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.79,0.81,2.20,0.61,4.31,4.31,4.31
CsBeBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,9.01,1.57,-48.00,899.50,1757.10,14848.70,112.00,90.00,0.45,1848.00,1820.00,297.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.35,1.13,1.19,0.23,2.01,2.01,2.01
CsBeCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,9.01,1.57,-48.00,899.50,1757.10,14848.70,112.00,90.00,0.45,1848.00,1820.00,297.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.40,1.15,1.42,0.25,3.68,3.68,3.68
CsBeI3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,9.01,1.57,-48.00,899.50,1757.10,14848.70,112.00,90.00,0.45,1848.00,1820.00,297.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.29,1.09,0.97,0.20,0.09,0.09,0.09
CsCaBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,40.08,1.00,2.37,589.80,1145.40,4912.40,194.00,174.00,1.00,1550.00,631.00,155.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.96,0.92,2.06,0.51,5.62,5.62,5.62
CsCaCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,40.08,1.00,2.37,589.80,1145.40,4912.40,194.00,174.00,1.00,1550.00,631.00,155.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.98,0.93,2.46,0.55,6.81,6.81,6.81
CsCaI3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,40.08,1.00,2.37,589.80,1145.40,4912.40,194.00,174.00,1.00,1550.00,631.00,155.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.95,0.90,1.69,0.45,4.62,4.62,4.62
CsCdBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,112.41,1.69,-68.00,867.80,1631.40,3616.00,161.00,148.00,0.95,7140.00,230.00,119.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.09,0.93,1.71,0.48,1.83,1.83,1.83
CsCdCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,112.41,1.69,-68.00,867.80,1631.40,3616.00,161.00,148.00,0.95,7140.00,230.00,119.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.11,0.95,2.04,0.52,3.14,3.14,3.14
CsCdI3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,112.41,1.69,-68.00,867.80,1631.40,3616.00,161.00,148.00,0.95,7140.00,230.00,119.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.06,0.92,1.40,0.43,0.28,0.28,0.28
CsGeBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.27,1.01,1.33,0.37,1.01,1.01,1.01
CsGeCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.31,1.03,1.58,0.40,1.42,1.42,1.42
CsMgBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,24.31,1.31,-40.00,737.70,1450.70,7732.70,145.00,130.00,0.72,1738.00,1020.00,128.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.16,1.01,1.54,0.37,3.78,3.78,3.78
CsMgCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,24.31,1.31,-40.00,737.70,1450.70,7732.70,145.00,130.00,0.72,1738.00,1020.00,128.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.19,1.03,1.84,0.40,5.55,5.55,5.55
CsMgI3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,24.31,1.31,-40.00,737.70,1450.70,7732.70,145.00,130.00,0.72,1738.00,1020.00,128.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.12,0.99,1.26,0.33,1.97,1.97,1.97
CsMnBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,54.94,1.55,-50.00,717.30,1509.00,3248.00,161.00,139.00,0.83,7470.00,479.00,220.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.09,0.97,1.71,0.42,2.46,2.46,2.46
