,,# of A,# of B,# of X,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR),Eg (eV)
CsBaBr3,ABX3,1,1,3,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,79.90,947.30,0.80,0.69,5.14
CsBaCl3,ABX3,1,1,3,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,35.45,478.20,0.80,0.75,6.00
CsBaI3,ABX3,1,1,3,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,126.90,429.00,0.79,0.61,4.31
CsBeBr3,ABX3,1,1,3,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,79.90,947.30,1.35,0.23,2.01
CsBeCl3,ABX3,1,1,3,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,35.45,478.20,1.40,0.25,3.68
CsBeI3,ABX3,1,1,3,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,126.90,429.00,1.29,0.20,0.09
CsCaBr3,ABX3,1,1,3,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,79.90,947.30,0.96,0.51,5.62
CsCaCl3,ABX3,1,1,3,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,35.45,478.20,0.98,0.55,6.81
CsCaI3,ABX3,1,1,3,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,126.90,429.00,0.95,0.45,4.62
CsCdBr3,ABX3,1,1,3,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,79.90,947.30,1.09,0.48,1.83
CsCdCl3,ABX3,1,1,3,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,35.45,478.20,1.11,0.52,3.14
CsCdI3,ABX3,1,1,3,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,126.90,429.00,1.06,0.43,0.28
CsGeBr3,ABX3,1,1,3,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,79.90,947.30,1.27,0.37,1.01
CsGeCl3,ABX3,1,1,3,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,35.45,478.20,1.31,0.40,1.42
CsMgBr3,ABX3,1,1,3,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,79.90,947.30,1.16,0.37,3.78
CsMgCl3,ABX3,1,1,3,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,35.45,478.20,1.19,0.40,5.55
CsMgI3,ABX3,1,1,3,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,126.90,429.00,1.12,0.33,1.97
CsMnBr3,ABX3,1,1,3,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,79.90,947.30,1.09,0.42,2.46
CsMnCl3,ABX3,1,1,3,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,35.45,478.20,1.11,0.46,3.17
